"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated"
"174","20150116T000000",917500,4,2.5,3880,35003,2,0,3,10,2570,1310,1984,0
"175","20140929T000000",673000,4,2.25,2590,8190,2,0,4,8,2590,0,1980,0
"176","20150210T000000",425000,3,2.5,1120,1100,2,0,3,8,820,300,2008,0
"177","20140709T000000",399950,5,2.75,1970,5400,1,0,3,7,1320,650,1986,0
"178","20140530T000000",385000,3,1,1220,4800,1,0,3,6,1220,0,1901,0
"179","20141117T000000",269950,3,1.5,1950,7560,1,0,4,7,1320,630,1975,0
"180","20150107T000000",330000,2,1,1350,8220,1,0,3,7,1060,290,1949,0
"181","20140725T000000",260000,3,2.5,1670,5797,2,0,3,7,1670,0,1988,0
"182","20150414T000000",470000,4,3,2380,5125,1.5,0,4,7,1680,700,1925,0
"183","20140613T000000",589000,4,3,2440,9600,2,0,5,7,2440,0,1961,0
"184","20140723T000000",163500,2,1.5,NA,3419,2,0,3,7,1050,0,1996,0
"185","20140905T000000",835000,4,2.75,3130,13412,2,0,3,9,2140,990,1993,0
"186","20141121T000000",1100000,5,3,NA,12850,1,0,4,10,2090,2000,1986,0
"187","20150415T000000",269000,4,1.75,1490,10000,1,0,4,8,1100,390,1969,0
"188","20140505T000000",560000,3,2.5,1900,8744,2,0,3,8,1900,0,1987,0
"189","20150418T000000",615000,4,1,1330,2400,1.5,0,4,6,1330,0,1901,0
"190","20141205T000000",585188,3,2.25,NA,10026,1,0,3,8,1430,800,1975,0
"191","20140818T000000",305000,3,1.75,1650,9480,1,0,3,7,1220,430,1977,0
"192","20141105T000000",166950,3,1,1190,8820,1,0,3,6,1190,0,1959,0
"193","20140912T000000",799000,3,2.5,2140,9897,1,0,4,8,2140,0,1959,0
"194","20140625T000000",4e+05,3,2.5,2180,7508,1,0,4,7,1420,760,1962,0
"195","20141201T000000",230000,3,1,1060,10228,1,0,3,7,1060,0,1948,0
"196","20140515T000000",256883,3,2.5,1690,5025,2,0,3,8,1690,0,2003,0
"197","20141111T000000",423000,4,2,1970,6480,1.5,0,5,7,1130,840,1920,0
"198","20140723T000000",465000,3,2.5,2150,4084,2,0,3,8,2150,0,2007,0
"199","20150113T000000",440000,3,2.5,1910,66211,2,0,3,7,1910,0,1997,0
"200","20141014T000000",385000,3,1.75,1350,155073,1,0,4,7,1350,0,1969,0
"201","20150311T000000",210000,3,1,860,11725,1,0,4,6,860,0,1943,0
"202","20141112T000000",297000,3,2.5,1940,14952,2,0,3,8,1940,0,1994,0
"203","20140716T000000",470000,3,1,1010,5000,1,0,3,7,1010,0,1952,0
"204","20140804T000000",226500,3,1.5,1300,7370,1,0,4,7,900,400,1976,0
"205","20150303T000000",274250,3,1,910,8450,1,0,4,6,910,0,1962,0
"206","20140804T000000",840000,4,1.75,2480,11010,1,0,4,9,1630,850,1966,0
"207","20140919T000000",677900,3,2.5,2440,4587,2,0,3,8,2440,0,2010,0
"208","20150205T000000",425000,3,1,1010,5864,1,0,NA,7,1010,0,1915,0
"209","20141123T000000",180250,2,0.75,900,9600,1,0,3,6,900,0,1941,0
"210","20140717T000000",464000,6,3,2300,3404,2,0,3,7,1600,700,1920,1994
"211","20150422T000000",320000,4,2.25,1550,7579,2,0,3,8,1550,0,1993,0
"212","20140717T000000",625504,3,2.25,1270,1566,2,0,3,8,1060,210,2014,0
"213","20140515T000000",592500,4,2.5,2240,12032,1,0,3,9,2240,0,1983,0
"214","20150114T000000",465000,3,2.5,2714,17936,2,0,3,9,2714,0,2005,0
"215","20140527T000000",477000,4,2.75,1720,6270,2,0,3,8,1720,0,1978,0
"216","20150115T000000",280000,2,1,850,16400,1,0,3,6,850,0,1923,0
"217","20150221T000000",1510000,5,3,3300,33474,1,0,3,9,1870,1430,1957,1991
"218","20140703T000000",445838,3,2.5,2250,5692,2,0,3,8,2250,0,2000,0
"219","20140828T000000",1070000,2,2.25,3900,14864,1,0,3,8,1950,1950,1947,0
"220","20141023T000000",467000,2,1.5,1320,10800,1,0,4,8,1320,0,1947,0
"221","20140822T000000",686000,4,2.5,2760,6440,2,0,3,10,2760,0,1999,0
"222","20140605T000000",279950,3,2,1750,9750,1,0,3,7,1350,400,1961,0
"223","20140904T000000",527000,4,2.25,2330,19436,2,0,3,8,2330,0,NA,0
"224","20140918T000000",325000,3,2.25,2220,16020,1,0,4,8,1780,440,1966,0
"225","20140903T000000",328000,3,2.25,2020,8379,2,0,3,7,2020,0,1994,0
"226","20140604T000000",390000,3,2.25,1250,7500,1,0,5,7,1250,0,1942,0
"227","20150309T000000",479950,2,2,1510,6516,1,0,3,8,1510,0,2005,0
"228","20140529T000000",264950,4,2.25,1720,9753,1,0,4,7,1120,600,1978,0
"229","20150115T000000",235000,3,1,1430,15246,1,0,4,7,980,450,1961,0
"230","20150303T000000",516500,3,2.5,1480,4729,2,0,3,7,1480,0,2004,0
"231","20150413T000000",655000,2,1.75,1450,15798,2,1,3,7,1230,220,1915,1978
"232","20140616T000000",5e+05,4,2.75,2280,15347,1,0,5,7,2280,0,1960,0
"233","20141121T000000",315000,6,2.75,2940,7350,1,0,3,8,1780,1160,1978,0
"234","20141120T000000",213000,2,1,1000,10200,1,0,3,6,1000,0,1961,0
"235","20140902T000000",475000,3,1.5,2480,5280,1.5,0,5,7,1620,860,1947,0
"236","20140610T000000",1030000,5,4,3760,28040,2,0,3,10,3760,0,1983,0
"237","20150409T000000",416000,3,2,2220,94300,1,0,5,7,1640,580,1976,0
"238","20150320T000000",410000,4,1,1970,4740,1.5,0,3,7,1670,300,1904,2005
"239","20140701T000000",8e+05,3,3.5,3830,221284,2,0,3,10,3530,300,1993,0
"240","20140529T000000",472000,6,2.5,4410,14034,1,0,4,9,2350,2060,1965,0
"241","20141208T000000",225000,3,1.75,1430,8505,1,0,4,7,1430,0,1968,0
"242","20141001T000000",210000,2,1,830,6000,1,0,NA,6,830,0,1940,0
"243","20150127T000000",455000,2,1,1430,5000,1.5,0,2,7,1430,0,1925,0
"244","20150427T000000",225000,3,1,1300,8316,1,0,4,6,1300,0,1954,0
"245","20140826T000000",480000,2,1,1030,3060,1,0,4,7,790,240,1918,0
"246","20150212T000000",363000,3,2.5,2740,11872,2,0,3,9,2740,0,1990,0
"247","20140929T000000",2400000,4,2.5,NA,8354,1,1,3,9,1830,1820,2000,0
"248","20150226T000000",181000,2,1.5,720,5120,1,0,3,6,720,0,1954,0
"249","20150314T000000",250000,4,2,2010,7312,1,0,4,7,2010,0,1976,0
"250","20150422T000000",481000,3,1.75,1560,3000,1,0,4,6,770,790,1918,0
"251","20140923T000000",260000,3,2,1810,7209,1,0,4,7,1240,570,1978,0
"252","20140513T000000",455000,4,2.5,NA,7685,2,0,3,9,3360,0,2001,0
"253","20150401T000000",415000,3,2.25,1510,36224,2,0,3,8,1510,0,1991,0
"254","20150421T000000",349500,3,1,1400,3538,1,0,3,7,800,600,1953,0
"255","20140929T000000",245000,3,2.5,1730,7442,2,0,3,7,1730,0,1987,0
"256","20140519T000000",592500,2,2,1420,9191,1.5,0,5,7,1420,0,1928,0
"257","20141020T000000",385000,4,1.75,2360,7620,1,0,4,7,1180,1180,NA,0
"258","20150211T000000",315000,3,1.75,1580,11455,1,0,4,7,1200,380,1974,0
"259","20141124T000000",255000,3,1,1230,10170,1,0,3,7,1230,0,1979,0
"260","20140829T000000",693000,4,2.5,2460,4425,2,0,3,8,2460,0,2006,0
"261","20141202T000000",780000,3,1,1660,4400,1.5,0,3,8,1460,200,1911,0
"262","20141024T000000",237000,3,1.75,1270,8470,1,0,4,7,1270,0,1960,0
"263","20141216T000000",525000,3,2.25,2100,40510,2,0,3,10,1320,780,1979,0
"264","20150428T000000",425000,2,1,770,5040,1,0,3,5,770,0,1930,0
"265","20141027T000000",369900,1,0.75,760,10079,1,1,5,5,760,0,1936,0
"266","20140519T000000",290000,4,2.5,1700,7280,2,0,4,7,1700,0,1988,0
"267","20140929T000000",285000,3,1,1120,10701,1,0,3,7,1120,0,1954,0
"268","20140814T000000",415000,2,1,1070,4500,1,0,3,7,1070,0,1937,0
"269","20150409T000000",272500,3,2.5,2070,9900,1,0,3,8,1420,650,1979,0
"270","20150504T000000",2900000,4,3.25,5050,20100,1.5,0,3,11,4750,300,1982,2008
"271","20141007T000000",1370000,4,4.75,5310,57346,2,0,4,11,5310,0,1989,0
"272","20150501T000000",436000,2,1,1040,7538,1,0,4,7,1040,0,1939,0
"273","20141017T000000",210000,3,1,1700,11390,1,0,4,7,1700,0,1967,0
"274","20140925T000000",236000,3,1,1300,5898,1,0,3,7,1300,0,1961,0
"275","20141124T000000",331000,3,1.75,1080,1306,1,0,3,7,580,500,1954,2003
"276","20150320T000000",365000,3,2.5,2653,4510,2,0,3,8,2653,0,2006,0
"277","20150127T000000",450000,3,2,2290,16258,1,0,5,8,2290,0,1960,0
"278","20141113T000000",770000,4,2.75,3820,26300,2,0,3,9,2850,970,2014,0
"279","20150505T000000",455000,4,2.5,2210,49375,1,0,3,8,2210,0,1997,0
"280","20150505T000000",405000,3,1.75,2390,6000,1,0,3,6,1240,1150,1908,0
"281","20140703T000000",304900,4,1.75,2600,11325,1,0,4,7,1610,990,1969,0
"282","20150227T000000",170000,2,1,860,5265,1,0,NA,6,860,0,1931,0
"283","20150513T000000",2050000,5,3,3830,8480,2,0,5,9,2630,1200,1905,1994
"284","20140630T000000",780000,4,2.5,3500,7048,2,0,3,9,3500,0,2005,0
"285","20150410T000000",330000,3,3,2420,13959,1,0,4,8,1740,680,1988,0
"286","20140905T000000",370000,4,2.5,2720,8666,2,0,3,9,2720,0,1992,0
"287","20141017T000000",467000,5,2.25,2500,13500,1,0,3,7,1850,650,1979,0
"288","20150209T000000",405000,3,1.75,1670,6720,1,0,3,7,1140,530,1980,0
"289","20140702T000000",675000,5,2.25,2900,10300,1,0,3,8,1450,1450,1985,0
"290","20140812T000000",5e+05,2,1,1640,14100,1,0,4,7,1140,500,1954,0
"291","20140723T000000",389999,4,2.5,1890,15770,2,0,4,7,1890,0,NA,0
"292","20150224T000000",630000,4,1.75,2950,9025,1,0,4,8,1780,1170,1975,0
"293","20141022T000000",360000,4,2.5,2160,9528,2,0,3,9,2160,0,1992,0
"294","20141002T000000",580000,4,3,3280,11060,2,0,3,8,2270,1010,1986,0
"295","20140709T000000",550000,3,2,1970,4166,2,0,5,8,1270,700,1929,0
"296","20140710T000000",879000,4,2.5,3360,22111,2,0,3,10,3360,0,1994,0
"297","20140822T000000",265000,3,2,1320,8959,1,0,3,7,1320,0,1993,0
"298","20150304T000000",446500,3,2.5,2650,7286,2,0,3,8,2650,0,1990,0
"299","20140602T000000",404000,3,1.5,2030,8880,1,0,3,7,1330,700,1963,0
"300","20140529T000000",267500,3,1.75,1590,11914,1,0,3,7,1090,500,1957,0
"301","20140624T000000",3080000,4,5,4550,18641,1,1,3,10,2600,1950,2002,0
"302","20140811T000000",335000,3,2.5,2440,7632,2,0,3,8,2440,0,1998,0
"303","20140619T000000",576000,3,2.5,1940,9000,1,0,4,7,970,970,1948,0
"304","20150401T000000",208633,3,2.5,2040,3810,2,0,3,8,2040,0,2006,0
"305","20150115T000000",315000,3,2.25,2200,8750,1,0,4,7,1120,1080,1964,0
"306","20150217T000000",725000,3,1.75,1920,3300,1,0,4,8,960,960,1913,0
"307","20150403T000000",550000,4,2.75,1800,7750,1,0,4,8,1400,400,1965,0
"308","20140612T000000",610750,4,2.25,2180,7297,2,0,3,8,2180,0,1984,0
"309","20150228T000000",550700,2,1,1010,5000,1.5,0,4,6,1010,0,1908,0
"310","20150108T000000",665000,4,2.75,3320,10574,2,0,5,8,2220,1100,1960,0
"311","20150209T000000",834000,4,2.5,2370,4000,1.5,0,5,8,1980,390,1928,0
"312","20141023T000000",201000,5,1.75,1660,78408,1.5,0,3,6,1660,0,1915,0
"313","20140502T000000",2380000,5,2.5,3650,9050,2,0,5,10,3370,280,1921,0
"314","20140618T000000",1380000,4,3.25,4290,12103,1,0,NA,11,2690,1600,1997,0
"315","20141209T000000",1400000,4,3.25,4290,12103,1,0,3,11,2690,1600,1997,0
"316","20141105T000000",305000,4,2.25,1950,7700,1,0,3,8,1350,600,1979,0
"317","20150408T000000",487000,3,2,2590,14052,1,0,5,8,1720,870,1948,0
"318","20150511T000000",390000,3,2.5,1930,64904,1,0,4,8,1930,0,1988,0
"319","20140723T000000",548000,2,1,1470,3864,1,0,4,7,1170,300,1916,0
"320","20141122T000000",268750,4,1,800,8775,1,0,3,6,800,0,1943,0
"321","20140513T000000",819900,5,2.75,3150,7119,2,0,3,9,3150,0,2013,0
"322","20141023T000000",520000,3,2.25,2030,16200,2,0,3,8,2030,0,1984,0
"323","20140721T000000",230000,3,2,1450,11204,1,0,3,7,1450,0,2003,0
"324","20150202T000000",240000,3,1.75,1510,10248,1,0,3,7,1510,0,1969,0
